arm,rep,utc_start,wall_s,build_label,build_sha,build_dir,model,models_path,device,path,echo,exit_code,outcome,crash_kind,last_step,result_text_sha256,result_line,ov_version,gpu_driver,tokenizers_submodule,log
base_qwen2vl_CPU_chat_history_echotrue,2,20260907T173049Z,2.34,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,chat_history,true,3221225477,CRASH,access_violation_0xC0000005,STEP generate(list[ChatHistory]),n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_chat_history_echotrue_rep2_20260907T173049Z.txt
base_qwen2vl_CPU_chat_history_echotrue,3,20260907T173051Z,2.36,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,chat_history,true,3221225477,CRASH,access_violation_0xC0000005,STEP generate(list[ChatHistory]),n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_chat_history_echotrue_rep3_20260907T173051Z.txt
base_qwen2vl_CPU_add_request_echotrue,1,20260907T173054Z,2.31,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,add_request,true,3221225477,CRASH,access_violation_0xC0000005,STEP add_request,n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_add_request_echotrue_rep1_20260907T173054Z.txt
base_qwen2vl_CPU_add_request_echotrue,2,20260907T173056Z,2.31,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,add_request,true,3221225477,CRASH,access_violation_0xC0000005,STEP add_request,n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_add_request_echotrue_rep2_20260907T173056Z.txt
base_qwen2vl_CPU_add_request_echotrue,3,20260907T173058Z,2.26,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,add_request,true,3221225477,CRASH,access_violation_0xC0000005,STEP add_request,n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_add_request_echotrue_rep3_20260907T173058Z.txt
base_qwen2vl_CPU_string_echofalse,1,20260907T173101Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,string,false,0,COMPLETED,none,STEP generate(list[str]),4d0ca4dbf0676fc05643309718a8d7082708f6fb98e586a7bd07b8c937227265,RESULT text='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_string_echofalse_rep1_20260907T173101Z.txt
base_qwen2vl_CPU_string_echofalse,2,20260907T173101Z,0.52,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,string,false,0,COMPLETED,none,STEP generate(list[str]),4d0ca4dbf0676fc05643309718a8d7082708f6fb98e586a7bd07b8c937227265,RESULT text='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_string_echofalse_rep2_20260907T173101Z.txt
base_qwen2vl_CPU_string_echofalse,3,20260907T173102Z,0.5,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,string,false,0,COMPLETED,none,STEP generate(list[str]),4d0ca4dbf0676fc05643309718a8d7082708f6fb98e586a7bd07b8c937227265,RESULT text='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_string_echofalse_rep3_20260907T173102Z.txt
base_qwen2vl_CPU_chat_history_echofalse,1,20260907T173102Z,0.51,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,chat_history,false,0,COMPLETED,none,STEP generate(list[ChatHistory]),4d0ca4dbf0676fc05643309718a8d7082708f6fb98e586a7bd07b8c937227265,RESULT text='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_chat_history_echofalse_rep1_20260907T173102Z.txt
base_qwen2vl_CPU_chat_history_echofalse,2,20260907T173103Z,0.5,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,chat_history,false,0,COMPLETED,none,STEP generate(list[ChatHistory]),4d0ca4dbf0676fc05643309718a8d7082708f6fb98e586a7bd07b8c937227265,RESULT text='.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_chat_history_echofalse_rep2_20260907T173103Z.txt
